year,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,a81,a82,a83,a84,a85,a86,a87,a88,a89,a90,a91,a92,a93,a94,a95,a96,a97,a98,a99,a100
2011,16134,13860,13161,12498,11940,11418,10897,10477,10057,9638,9218,8798,8504,8209,7914,7620,7325,7095,6864,6634,6404,6173,5957,5740,5524,5307,5091,4922,4753,4584,4415,4246,4078,3910,3742,3574,3406,3262,3117,2972,2828,2683,2583,2484,2384,2285,2185,2101,2017,1933,1849,1765,1705,1645,1585,1525,1464,1359,1253,1147,1041,935,880,826,772,717,663,625,586,548,510,472,435,398,361,324,287,257,227,198,168,139,120,102,83,65,46,39,32,25,19,12,9,7,5,2,0,0,0,0,0
2012,16594,14255,13537,12854,12366,11859,11351,10912,10473,10035,9596,9157,8838,8519,8200,7881,7562,7325,7087,6849,6611,6373,6154,5935,5717,5498,5279,5100,4921,4742,4564,4385,4219,4054,3888,3722,3557,3405,3252,3100,2948,2796,2688,2579,2471,2363,2255,2169,2083,1998,1912,1826,1763,1699,1635,1572,1508,1411,1315,1218,1121,1025,953,882,811,740,669,632,596,559,523,486,449,411,373,336,298,267,237,206,175,145,126,108,89,71,52,44,36,28,20,12,10,8,6,5,3,2,2,1,1
2013,17012,14615,13878,13178,12782,12297,11811,11358,10905,10451,9998,9545,9200,8855,8510,8165,7820,7572,7325,7077,6829,6581,6361,6141,5921,5702,5482,5291,5100,4909,4717,4526,4364,4202,4040,3878,3716,3556,3397,3237,3077,2917,2800,2682,2565,2447,2330,2243,2156,2069,1983,1896,1824,1753,1682,1611,1540,1457,1374,1291,1209,1126,1037,949,860,772,683,647,611,575,539,504,465,426,387,348,310,278,247,216,185,153,134,114,94,75,55,46,38,29,20,12,10,8,6,5,3,2,2,1,1
2014,17417,14962,14208,13491,13184,12719,12254,11793,11332,10872,10411,9950,9580,9210,8841,8471,8101,7840,7579,7318,7057,6796,6573,6351,6129,5906,5684,5482,5280,5078,4876,4674,4514,4355,4195,4035,3875,3710,3544,3379,3213,3048,2921,2794,2667,2540,2414,2324,2234,2145,2055,1965,1888,1810,1732,1655,1577,1506,1435,1364,1293,1221,1119,1018,916,814,712,673,634,596,557,518,479,439,400,361,321,288,255,222,189,156,136,116,96,75,55,47,39,31,23,14,12,10,8,5,3,2,2,1,1
2015,17835,15322,14549,13816,13572,13120,12668,12207,11746,11286,10825,10364,9973,9581,9190,8799,8408,8129,7851,7572,7294,7015,6789,6563,6336,6110,5884,5674,5464,5253,5043,4833,4671,4509,4347,4185,4023,3856,3688,3521,3354,3186,3050,2914,2778,2642,2506,2412,2318,2223,2129,2035,1952,1870,1788,1706,1624,1558,1493,1427,1362,1297,1190,1082,975,868,761,715,670,624,578,533,493,453,413,373,333,299,265,230,196,162,141,120,100,79,58,49,39,30,21,12,10,8,6,5,3,2,2,1,1
2016,18247,15675,14885,14134,13968,13534,13099,12637,12175,11713,11251,10789,10378,9966,9555,9143,8732,8434,8135,7837,7539,7241,7009,6777,6545,6313,6081,5865,5650,5435,5219,5004,4836,4668,4500,4333,4165,3997,3829,3661,3493,3325,3181,3037,2893,2749,2605,2503,2402,2301,2200,2098,2013,1927,1841,1756,1670,1606,1541,1477,1413,1349,1244,1139,1034,930,825,768,711,655,598,541,501,461,421,381,342,308,274,241,207,174,152,130,108,86,64,54,44,34,24,14,12,10,8,5,3,2,2,1,1
2017,18672,16041,15232,14464,14347,13920,13493,13039,12586,12133,11680,11226,10797,10367,9938,9508,9079,8758,8436,8115,7794,7473,7233,6993,6754,6514,6275,6057,5840,5623,5406,5189,5011,4833,4654,4476,4298,4133,3968,3803,3638,3473,3321,3169,3016,2864,2712,2602,2493,2384,2274,2165,2077,1990,1903,1815,1728,1660,1591,1523,1455,1386,1290,1194,1098,1002,906,834,762,691,619,547,508,469,431,392,353,318,284,249,214,179,157,134,112,89,67,57,47,37,27,17,14,12,9,6,3,2,2,1,1
2018,19114,16421,15593,14807,14709,14279,13849,13413,12977,12541,12105,11669,11226,10783,10339,9896,9452,9105,8758,8410,8063,7716,7467,7218,6969,6720,6471,6253,6035,5817,5598,5380,5190,5001,4811,4621,4431,4270,4109,3948,3787,3626,3467,3307,3147,2987,2828,2710,2591,2473,2355,2237,2148,2059,1970,1881,1791,1717,1642,1567,1493,1418,1334,1249,1165,1080,996,908,820,732,644,556,517,479,441,403,365,329,294,259,223,188,164,141,117,93,69,59,49,38,28,17,14,12,9,6,3,2,2,1,1
2019,19571,16813,15965,15160,15060,14619,14179,13765,13351,12937,12523,12109,11657,11204,10751,10299,9846,9474,9102,8729,8357,7985,7723,7462,7200,6938,6677,6457,6237,6017,5797,5577,5377,5177,4976,4776,4576,4416,4256,4096,3937,3777,3612,3447,3282,3117,2952,2825,2697,2570,2443,2315,2223,2131,2039,1947,1855,1775,1694,1614,1533,1453,1378,1302,1227,1152,1077,978,879,780,681,582,541,500,458,417,376,340,303,267,230,194,170,145,121,97,72,61,50,39,28,17,14,12,9,6,3,2,2,1,1
2020,20034,17211,16343,15519,15407,14954,14500,14105,13710,13315,12921,12526,12072,11618,11165,10711,10257,9862,9467,9073,8678,8283,8005,7726,7448,7169,6891,6667,6443,6219,5995,5771,5563,5355,5148,4940,4732,4570,4408,4246,4084,3922,3754,3587,3420,3252,3085,2949,2813,2677,2541,2405,2308,2212,2115,2018,1922,1837,1752,1666,1581,1496,1426,1355,1284,1214,1143,1040,936,832,729,625,578,530,483,435,388,350,313,275,237,200,174,149,123,98,72,61,50,39,28,17,14,12,9,6,3,2,2,1,1
